name,h,w,bird_area,rail_keep_area,rail_keep_frac,branch_ok,out_dir,err
input1,449,330,47373,70558,0.4762,True,segment\output\kmeans_1seg\input1,
input1,449,330,47373,70558,0.4762,True,segment\output\kmeans_1seg\input1,
input10,224,200,0,1489,0.03324,True,segment\output\kmeans_1seg\input10,
input10,224,200,0,1489,0.03324,True,segment\output\kmeans_1seg\input10,
input11,667,1000,152400,183559,0.2752,True,segment\output\kmeans_1seg\input11,
input11,667,1000,152400,183559,0.2752,True,segment\output\kmeans_1seg\input11,
input12,600,600,0,36650,0.10181,True,segment\output\kmeans_1seg\input12,
input12,600,600,0,36650,0.10181,True,segment\output\kmeans_1seg\input12,
input13,466,626,130,14540,0.04984,True,segment\output\kmeans_1seg\input13,
input13,466,626,130,14540,0.04984,True,segment\output\kmeans_1seg\input13,
input15,390,600,32908,79159,0.33829,True,segment\output\kmeans_1seg\input15,
input15,390,600,32908,79159,0.33829,True,segment\output\kmeans_1seg\input15,
input16,853,1280,283412,449114,0.41134,True,segment\output\kmeans_1seg\input16,
input16,853,1280,283412,449114,0.41134,True,segment\output\kmeans_1seg\input16,
input17,286,400,40359,85746,0.74953,True,segment\output\kmeans_1seg\input17,
input17,286,400,40359,85746,0.74953,True,segment\output\kmeans_1seg\input17,
input18,665,1200,148079,215627,0.27021,True,segment\output\kmeans_1seg\input18,
input18,665,1200,148079,215627,0.27021,True,segment\output\kmeans_1seg\input18,
input19,2500,1768,32856,59015,0.01335,True,segment\output\kmeans_1seg\input19,
input19,2500,1768,32856,59015,0.01335,True,segment\output\kmeans_1seg\input19,
input2,900,1440,0,22782,0.01758,True,segment\output\kmeans_1seg\input2,
input2,900,1440,0,22782,0.01758,True,segment\output\kmeans_1seg\input2,
input20,768,1024,293320,373892,0.47543,True,segment\output\kmeans_1seg\input20,
input20,768,1024,293320,373892,0.47543,True,segment\output\kmeans_1seg\input20,
input21,375,500,52736,78346,0.41785,True,segment\output\kmeans_1seg\input21,
input21,375,500,52736,78346,0.41785,True,segment\output\kmeans_1seg\input21,
input22,674,900,131630,175140,0.28872,True,segment\output\kmeans_1seg\input22,
input22,674,900,131630,175140,0.28872,True,segment\output\kmeans_1seg\input22,
input24,449,330,47373,70558,0.4762,True,segment\output\kmeans_1seg\input24,
input24,449,330,47373,70558,0.4762,True,segment\output\kmeans_1seg\input24,
input25,511,511,59513,99142,0.37968,True,segment\output\kmeans_1seg\input25,
input25,511,511,59513,99142,0.37968,True,segment\output\kmeans_1seg\input25,
input26,1104,736,200040,308358,0.3795,True,segment\output\kmeans_1seg\input26,
input26,1104,736,200040,308358,0.3795,True,segment\output\kmeans_1seg\input26,
input27,615,500,54465,101328,0.32952,True,segment\output\kmeans_1seg\input27,
input27,615,500,54465,101328,0.32952,True,segment\output\kmeans_1seg\input27,
input28,980,672,119811,154624,0.23479,True,segment\output\kmeans_1seg\input28,
